entry_name,item_no,item_code,item_name,timing_group,support_type,requirement_symbol,requirement_meaning,data_type,xml_data_type,act_mood_code,observation_class_code,observation_mood_code,xml_unit,code_table_oid,note
保健指導計画情報,1337,1021001051,一日の運動による目標エネルギー量,first_claim,active,☆,少なくとも保険者が委託により実施した場合は必須入力項目,数字,PQ,INT,OBS,GOL,kcal,,
保健指導計画情報,1337,1021001051,一日の運動による目標エネルギー量,first_claim,motivational_equivalent,☆,少なくとも保険者が委託により実施した場合は必須入力項目,数字,PQ,INT,OBS,GOL,kcal,,
保健指導計画情報,1338,1021001052,一日の食事による目標エネルギー量,first_claim,motivational,☆,少なくとも保険者が委託により実施した場合は必須入力項目,数字,PQ,INT,OBS,GOL,kcal,,
保健指導計画情報,1338,1021001052,一日の食事による目標エネルギー量,first_claim,active,☆,少なくとも保険者が委託により実施した場合は必須入力項目,数字,PQ,INT,OBS,GOL,kcal,,
保健指導計画情報,1338,1021001052,一日の食事による目標エネルギー量,first_claim,motivational_equivalent,☆,少なくとも保険者が委託により実施した場合は必須入力項目,数字,PQ,INT,OBS,GOL,kcal,,
保健指導計画情報,1339,1021001053,計画上の腹囲・体重の改善,first_claim,active,○,必須入力項目,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24110,"0:計画なし 1:1cm・1kg 2:2cm・2kg"
保健指導計画情報,1339,1021001053,計画上の腹囲・体重の改善,first_claim,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24110,"0:計画なし 1:1cm・1kg 2:2cm・2kg"
保健指導計画情報,1339,1021001053,計画上の腹囲・体重の改善,legal_report,active,○,必須入力項目,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24110,"0:計画なし 1:1cm・1kg 2:2cm・2kg"
保健指導計画情報,1339,1021001053,計画上の腹囲・体重の改善,legal_report,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24110,"0:計画なし 1:1cm・1kg 2:2cm・2kg"
保健指導計画情報,1340,1021001054,計画上の生活習慣の改善(食習慣),first_claim,active,○,必須入力項目,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1340,1021001054,計画上の生活習慣の改善(食習慣),first_claim,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1340,1021001054,計画上の生活習慣の改善(食習慣),legal_report,active,○,必須入力項目,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1340,1021001054,計画上の生活習慣の改善(食習慣),legal_report,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1341,1021001055,計画上の生活習慣の改善(運動習慣),first_claim,active,○,必須入力項目,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1341,1021001055,計画上の生活習慣の改善(運動習慣),first_claim,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1341,1021001055,計画上の生活習慣の改善(運動習慣),legal_report,active,○,必須入力項目,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1341,1021001055,計画上の生活習慣の改善(運動習慣),legal_report,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1342,1021001056,計画上の生活習慣の改善(喫煙習慣),first_claim,active,○,必須入力項目,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1342,1021001056,計画上の生活習慣の改善(喫煙習慣),first_claim,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1342,1021001056,計画上の生活習慣の改善(喫煙習慣),legal_report,active,○,必須入力項目,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1342,1021001056,計画上の生活習慣の改善(喫煙習慣),legal_report,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1343,1021001057,計画上の生活習慣の改善(休養習慣),first_claim,active,○,必須入力項目,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1343,1021001057,計画上の生活習慣の改善(休養習慣),first_claim,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1343,1021001057,計画上の生活習慣の改善(休養習慣),legal_report,active,○,必須入力項目,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1343,1021001057,計画上の生活習慣の改善(休養習慣),legal_report,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1344,1021001058,計画上の生活習慣の改善(その他の生活習慣),first_claim,active,○,必須入力項目,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1344,1021001058,計画上の生活習慣の改善(その他の生活習慣),first_claim,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1344,1021001058,計画上の生活習慣の改善(その他の生活習慣),legal_report,active,○,必須入力項目,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1344,1021001058,計画上の生活習慣の改善(その他の生活習慣),legal_report,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,INT,OBS,INT,,1.2.392.200119.6.24120,"0:計画なし 1:計画あり"
保健指導計画情報,1345,1021001059,計画上のポイント(アウトカム評価の合計),first_claim,active,○,必須入力項目,数字,INT,INT,OBS,INT,,,"自動計算(1339+1340+1341+1342+1343+1344) 自動計算定義表を参照。"
保健指導計画情報,1345,1021001059,計画上のポイント(アウトカム評価の合計),first_claim,motivational_equivalent,△,情報を入手した場合に入力,数字,INT,INT,OBS,INT,,,"自動計算(1339+1340+1341+1342+1343+1344) 自動計算定義表を参照。"
保健指導計画情報,1345,1021001059,計画上のポイント(アウトカム評価の合計),legal_report,active,○,必須入力項目,数字,INT,INT,OBS,INT,,,"自動計算(1339+1340+1341+1342+1343+1344) 自動計算定義表を参照。"
保健指導計画情報,1345,1021001059,計画上のポイント(アウトカム評価の合計),legal_report,motivational_equivalent,△,情報を入手した場合に入力,数字,INT,INT,OBS,INT,,,"自動計算(1339+1340+1341+1342+1343+1344) 自動計算定義表を参照。"
継続支援情報,1411,1032300011,支援①の実施日付,second_claim,motivational,☆,少なくとも保険者が委託により実施した場合は必須入力項目,年月日,,EVN,,,,,YYYYMMDD
