項目名,項目コード（17桁）,項目コードOID,表示用単位,XML用単位,XMLデータ型,結果コードOID,検査方法,区分名称,データタイプ,XML検査方法コード,XPathテンプレ,値の取得方法,nullFlavor許容,重要度,重要度グループ,備考,更新種別,更新理由,最終更新日
心電図(所見の有無),9A110160700000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,,がん検診・生体検査等,コード,,//cda:observation[ cda:code/@code='9A110160700000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
情報提供の方法,9N950000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.18050,,情報提供,コード,,//cda:observation[ cda:code/@code='9N950000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
意見を述べた医師の氏名,9N526000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
意見を述べた歯科医師の氏名,9N546000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
打聴診,9N081000000000049,1.2.392.200119.6.1005,,,ST,,,診察,文字列,,,,,,,,変更なし,,2025-08-20
拡張期血圧(1回目),9A761000000000001,1.2.392.200119.6.1005,mmHg,mm[Hg],PQ,,1：1回目,血圧等,数字,9A76100000,//cda:observation[ cda:code/@code='9A761000000000001' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,更新,"差分: 表示用単位,検査方法",2025-08-20
拡張期血圧(2回目),9A762000000000001,1.2.392.200119.6.1005,mmHg,mm[Hg],PQ,,2：2回目,血圧等,数字,9A76200000,//cda:observation[ cda:code/@code='9A762000000000001' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
拡張期血圧(その他),9A765000000000001,1.2.392.200119.6.1005,mmHg,mm[Hg],PQ,,3：その他,血圧等,数字,9A76500009,//cda:observation[ cda:code/@code='9A765000000000001' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
採血時間(食後),9N141000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2202,,採血条件,コード,,//cda:observation[ cda:code/@code='9N141000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
既往歴,9N056000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2001,,診察,コード,,//cda:observation[ cda:code/@code='9N056000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
既往歴1(脳血管),9N716000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2003,,質問票,コード,,//cda:observation[ cda:code/@code='9N716000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
既往歴2(心血管),9N721000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2003,,質問票,コード,,//cda:observation[ cda:code/@code='9N721000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
既往歴3(腎不全･人工透析),9N726000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2003,,質問票,コード,,//cda:observation[ cda:code/@code='9N726000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
服薬1(血圧),9N701000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2003,,質問票,コード,,//cda:observation[ cda:code/@code='9N701000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
服薬1(血圧)(服薬理由),9N701167100000049,1.2.392.200119.6.1005,,,ST,,,質問票,文字列,,,,,,,,変更なし,,2025-08-20
服薬1(血圧)(薬剤名),9N701167000000049,1.2.392.200119.6.1005,,,ST,,,質問票,文字列,,,,,,,,変更なし,,2025-08-20
服薬2(血糖),9N706000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2003,,質問票,コード,,//cda:observation[ cda:code/@code='9N706000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
服薬2(血糖)(服薬理由),9N706167100000049,1.2.392.200119.6.1005,,,ST,,,質問票,文字列,,,,,,,,変更なし,,2025-08-20
服薬2(血糖)(薬剤名),9N706167000000049,1.2.392.200119.6.1005,,,ST,,,質問票,文字列,,,,,,,,変更なし,,2025-08-20
服薬3(脂質),9N711000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2003,,質問票,コード,,//cda:observation[ cda:code/@code='9N711000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
服薬3(脂質)(服薬理由),9N711167100000049,1.2.392.200119.6.1005,,,ST,,,質問票,文字列,,,,,,,,変更なし,,2025-08-20
服薬3(脂質)(薬剤名),9N711167000000049,1.2.392.200119.6.1005,,,ST,,,質問票,文字列,,,,,,,,変更なし,,2025-08-20
梅毒反応,5E071000002399811,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2100,方法問わず,その他医療保険者等が任意に行う検査,コード,,,,,,,,変更なし,,2025-08-20
検査未実施の理由,9N512000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.24080,,医師の判断,コード,,//cda:observation[ cda:code/@code='9N512000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,,False,,,,更新,"差分: XMLデータ型,XPathテンプレ",2025-08-20
