OID_code,OID_code_value,OID_code_value_name,OID_code_display_order,OID_code_value_remarks,OID_code_value_dev_remarks,Unnamed: 6
OID,value,内容,表示順位,備考,開発コメント,エクセル用（OID-value)
1.2.392.200119.6.2009,1,はい,2,,,1.2.392.200119.6.2009-1
1.2.392.200119.6.18030,1,何でも,1,,,1.2.392.200119.6.18030-1
1.2.392.200119.6.18030,2,かみにくい,2,,,1.2.392.200119.6.18030-2
1.2.392.200119.6.18030,3,ほとんどかめない,3,,,1.2.392.200119.6.18030-3
1.2.392.200119.6.18040,1,毎日,1,,,1.2.392.200119.6.18040-1
1.2.392.200119.6.18040,2,時々,2,,,1.2.392.200119.6.18040-2
1.2.392.200119.6.18040,3,ほとんど摂取しない,3,,,1.2.392.200119.6.18040-3
1.2.392.200119.6.18050,1,付加価値の高い情報提供,1,,,1.2.392.200119.6.18050-1
1.2.392.200119.6.18050,2,専門職による対面説明,2,,,1.2.392.200119.6.18050-2
1.2.392.200119.6.18050,3,1と2両方実施,3,,,1.2.392.200119.6.18050-3
1.2.392.200119.6.18060,1,健診1週間以内に初回面接実施,1,セット券の運用で使用健診実施日を0日として7日後までに特定保健指導の初回面接を実施した場合のみ設定。1に当てはまらない場合は出現させない,,1.2.392.200119.6.18060-1
1.2.392.200119.6.24070,0,実施なし,1,,,1.2.392.200119.6.24070-0
1.2.392.200119.6.24070,1,当日,2,,,1.2.392.200119.6.24070-1
1.2.392.200119.6.24070,2,1週間以内（当日は除く）,3,「2：1週間以内（当日は除く）」は、健診実施日を0日として1日後から7日後までに特定保健指導の初回面接を実施した場合,,1.2.392.200119.6.24070-2
1.2.392.200119.6.24080,1,生理中,1,,,1.2.392.200119.6.24080-1
1.2.392.200119.6.24080,2,腎疾患等の基礎疾患があるため排尿障害を有する,2,,,1.2.392.200119.6.24080-2
1.2.392.200119.6.24080,3,その他,3,,,1.2.392.200119.6.24080-3
1.2.392.200119.6.2100,1,陽性,1,,,1.2.392.200119.6.2100-1
1.2.392.200119.6.2100,2,陰性,2,,,1.2.392.200119.6.2100-2
1.2.392.200119.6.2101,1,陰性,1,,,1.2.392.200119.6.2101-1
1.2.392.200119.6.2101,2,陽性,2,,,1.2.392.200119.6.2101-2
1.2.392.200119.6.2102,1,－,1,,,1.2.392.200119.6.2102-1
1.2.392.200119.6.2102,2,±,2,,,1.2.392.200119.6.2102-2
1.2.392.200119.6.2102,3,1＋,3,,,1.2.392.200119.6.2102-3
1.2.392.200119.6.2102,4,2＋,4,,,1.2.392.200119.6.2102-4
1.2.392.200119.6.2102,5,3＋,5,,,1.2.392.200119.6.2102-5
1.2.392.200119.6.2103,1,陰性,1,,,1.2.392.200119.6.2103-1
1.2.392.200119.6.2103,2,低力価,2,,,1.2.392.200119.6.2103-2
1.2.392.200119.6.2103,3,中力価,3,,,1.2.392.200119.6.2103-3
1.2.392.200119.6.2103,4,高力価,4,,,1.2.392.200119.6.2103-4
1.2.392.200119.6.2110,1,0,1,,,1.2.392.200119.6.2110-1
1.2.392.200119.6.2110,2,Ⅰ,2,,,1.2.392.200119.6.2110-2
1.2.392.200119.6.2110,3,Ⅱa,3,,,1.2.392.200119.6.2110-3
1.2.392.200119.6.2110,4,Ⅱb,4,,,1.2.392.200119.6.2110-4
1.2.392.200119.6.2110,5,Ⅲ,5,,,1.2.392.200119.6.2110-5
1.2.392.200119.6.2110,6,Ⅳ,6,,,1.2.392.200119.6.2110-6
1.2.392.200119.6.2111,1,0,1,,,1.2.392.200119.6.2111-1
1.2.392.200119.6.2111,2,1,2,,,1.2.392.200119.6.2111-2
1.2.392.200119.6.2111,3,2,3,,,1.2.392.200119.6.2111-3
1.2.392.200119.6.2111,4,3,4,,,1.2.392.200119.6.2111-4
1.2.392.200119.6.2111,5,4,5,,,1.2.392.200119.6.2111-5
1.2.392.200119.6.2112,1,0,1,,,1.2.392.200119.6.2112-1
1.2.392.200119.6.2112,2,1,2,,,1.2.392.200119.6.2112-2
1.2.392.200119.6.2112,3,2,3,,,1.2.392.200119.6.2112-3
1.2.392.200119.6.2112,4,3,4,,,1.2.392.200119.6.2112-4
1.2.392.200119.6.2112,5,4,5,,,1.2.392.200119.6.2112-5
1.2.392.200119.6.2113,1,1：Ⅰ(a),1,,,1.2.392.200119.6.2113-1
1.2.392.200119.6.2113,2,2：Ⅰ(b),2,,,1.2.392.200119.6.2113-2
1.2.392.200119.6.2113,3,3：Ⅱ,3,,,1.2.392.200119.6.2113-3
1.2.392.200119.6.2113,4,4：Ⅲ(a),4,,,1.2.392.200119.6.2113-4
1.2.392.200119.6.2113,5,5：Ⅲ(b),5,,,1.2.392.200119.6.2113-5
1.2.392.200119.6.2113,6,6：Ⅳ,6,,,1.2.392.200119.6.2113-6
1.2.392.200119.6.2113,7,7：Ⅴ (a),7,,,1.2.392.200119.6.2113-7
1.2.392.200119.6.2113,8,8：Ⅴ(b),8,,,1.2.392.200119.6.2113-8
1.2.392.200119.6.2113,9,9：Ⅵ,9,,,1.2.392.200119.6.2113-9
1.2.392.200119.6.18080,1,所見なし,1,,,1.2.392.200119.6.18080-1
1.2.392.200119.6.18080,2,軽度,2,,,1.2.392.200119.6.18080-2
1.2.392.200119.6.18080,3,中等度,3,,,1.2.392.200119.6.18080-3
1.2.392.200119.6.18080,4,重度,4,,,1.2.392.200119.6.18080-4
1.2.392.200119.6.18090,1,網膜症なし,1,,,1.2.392.200119.6.18090-1
1.2.392.200119.6.18090,2,単純網膜症,2,,,1.2.392.200119.6.18090-2
1.2.392.200119.6.18090,3,増殖前網膜症,3,,,1.2.392.200119.6.18090-3
1.2.392.200119.6.18090,4,増殖網膜症,4,,,1.2.392.200119.6.18090-4
1.2.392.200119.6.2115,1,A,1,,,1.2.392.200119.6.2115-1
1.2.392.200119.6.2115,2,B,2,,,1.2.392.200119.6.2115-2
1.2.392.200119.6.2115,3,AB,3,,,1.2.392.200119.6.2115-3
1.2.392.200119.6.2115,4,O,4,,,1.2.392.200119.6.2115-4
1.2.392.200119.6.2116,1,+,1,,,1.2.392.200119.6.2116-1
1.2.392.200119.6.2116,2,-,2,,,1.2.392.200119.6.2116-2
1.2.392.200119.6.2120,1,classI,1,,,1.2.392.200119.6.2120-1
1.2.392.200119.6.2120,2,classII,2,,,1.2.392.200119.6.2120-2
1.2.392.200119.6.2120,3,classIIIa,3,,,1.2.392.200119.6.2120-3
1.2.392.200119.6.2120,4,classIIIb,4,,,1.2.392.200119.6.2120-4
1.2.392.200119.6.2120,5,classIV,5,,,1.2.392.200119.6.2120-5
1.2.392.200119.6.2120,6,classV,6,,,1.2.392.200119.6.2120-6
1.2.392.200119.6.2120,7,検体不良,7,,,1.2.392.200119.6.2120-7
1.2.392.200119.6.18100,1,NILM,1,,,1.2.392.200119.6.18100-1
1.2.392.200119.6.18100,2,ASC-US,2,,,1.2.392.200119.6.18100-2
1.2.392.200119.6.18100,3,ASC-H,3,,,1.2.392.200119.6.18100-3
1.2.392.200119.6.18100,4,LSIL,4,,,1.2.392.200119.6.18100-4
1.2.392.200119.6.18100,5,HSIL,5,,,1.2.392.200119.6.18100-5
1.2.392.200119.6.18100,6,SCC,6,,,1.2.392.200119.6.18100-6
1.2.392.200119.6.18100,7,AGC,7,,,1.2.392.200119.6.18100-7
1.2.392.200119.6.18100,8,AIS,8,,,1.2.392.200119.6.18100-8
1.2.392.200119.6.18100,9,Adenocarcinoma,9,,,1.2.392.200119.6.18100-9
1.2.392.200119.6.18100,10,other,10,,,1.2.392.200119.6.18100-10
1.2.392.200119.6.2122,1,陽性,1,,,1.2.392.200119.6.2122-1
1.2.392.200119.6.2122,2,疑陽性,2,,,1.2.392.200119.6.2122-2
1.2.392.200119.6.2122,3,陰性,3,,,1.2.392.200119.6.2122-3
1.2.392.200119.6.2122,4,検体不良,4,,,1.2.392.200119.6.2122-4
1.2.392.200119.6.2130,1,A,1,,,1.2.392.200119.6.2130-1
1.2.392.200119.6.2130,2,B,2,,,1.2.392.200119.6.2130-2
1.2.392.200119.6.2130,3,C,3,,,1.2.392.200119.6.2130-3
1.2.392.200119.6.2130,4,D,4,,,1.2.392.200119.6.2130-4
1.2.392.200119.6.2130,5,E,5,,,1.2.392.200119.6.2130-5
1.2.392.200119.6.2131,1,0号,1,,,1.2.392.200119.6.2131-1
1.2.392.200119.6.2131,2,1号,2,,,1.2.392.200119.6.2131-2
1.2.392.200119.6.2131,3,2号,3,,,1.2.392.200119.6.2131-3
1.2.392.200119.6.2131,4,3号,4,,,1.2.392.200119.6.2131-4
1.2.392.200119.6.2131,5,4号,5,,,1.2.392.200119.6.2131-5
1.2.392.200119.6.2131,6,5号,6,,,1.2.392.200119.6.2131-6
1.2.392.200119.6.2131,7,6号,7,,,1.2.392.200119.6.2131-7
1.2.392.200119.6.2131,8,7号,8,,,1.2.392.200119.6.2131-8
1.2.392.200119.6.2131,9,8号,9,,,1.2.392.200119.6.2131-9
1.2.392.200119.6.2131,10,9号,10,,,1.2.392.200119.6.2131-10
1.2.392.200119.6.2131,11,10号,11,,,1.2.392.200119.6.2131-11
1.2.392.200119.6.2140,1,A,1,,,1.2.392.200119.6.2140-1
1.2.392.200119.6.2140,2,B,2,,,1.2.392.200119.6.2140-2
1.2.392.200119.6.2140,3,C,3,,,1.2.392.200119.6.2140-3
1.2.392.200119.6.2140,4,D,4,,,1.2.392.200119.6.2140-4
1.2.392.200119.6.2140,5,E,5,,,1.2.392.200119.6.2140-5
1.2.392.200119.6.2141,1,精密検査必要,1,,,1.2.392.200119.6.2141-1
1.2.392.200119.6.2141,2,精密検査不要,2,,,1.2.392.200119.6.2141-2
1.2.392.200119.6.2150,1,現在、Ｃ型肝炎ウイルスに感染していない可能性が極めて高い,1,,,1.2.392.200119.6.2150-1
1.2.392.200119.6.2150,2,現在、Ｃ型肝炎ウイルスに感染している可能性が極めて高い,2,,,1.2.392.200119.6.2150-2
1.2.392.200119.6.18110,0,詳細健診以外で実施,1,,,1.2.392.200119.6.18110-0
1.2.392.200119.6.18110,1,検査結果による血清クレアチニン検査対象者,2,,,1.2.392.200119.6.18110-1
1.2.392.200119.6.18120,0,詳細健診以外で実施,1,,,1.2.392.200119.6.18120-0
1.2.392.200119.6.18120,1,検査結果による心電図検査対象者,2,,,1.2.392.200119.6.18120-1
1.2.392.200119.6.18120,2,不整脈による心電図検査対象者,3,,,1.2.392.200119.6.18120-2
1.2.392.200119.6.18130,0,詳細健診以外で実施,1,,,1.2.392.200119.6.18130-0
1.2.392.200119.6.18130,1,検査結果による眼底検査対象者,2,,,1.2.392.200119.6.18130-1
1.2.392.200119.6.2202,2,10時間以上,1,,,1.2.392.200119.6.2202-2
1.2.392.200119.6.2202,3,食後3.5時間以上10時間未満,2,,,1.2.392.200119.6.2202-3
1.2.392.200119.6.2202,4,食後3.5時間未満,3,,,1.2.392.200119.6.2202-4
1.2.392.200119.6.2301,1,オージオメトリー,1,,,1.2.392.200119.6.2301-1
1.2.392.200119.6.2301,2,その他,2,,,1.2.392.200119.6.2301-2
1.2.392.200119.6.2501,1,介護予防事業の利用が望ましい,1,,,1.2.392.200119.6.2501-1
1.2.392.200119.6.2501,2,医学的な理由により次の介護予防の利用は不適当,2,,,1.2.392.200119.6.2501-2
1.2.392.200119.6.2501,3,生活機能の低下なし,3,,,1.2.392.200119.6.2501-3
1.2.392.200119.6.2502,1,すべて,1,,,1.2.392.200119.6.2502-1
1.2.392.200119.6.2502,2,運動器の機能向上,2,,,1.2.392.200119.6.2502-2
1.2.392.200119.6.2502,3,栄養改善,3,,,1.2.392.200119.6.2502-3
1.2.392.200119.6.2502,4,口腔機能の向上,4,,,1.2.392.200119.6.2502-4
1.2.392.200119.6.2502,5,その他（上記で2を選択したときに記載）,5,,,1.2.392.200119.6.2502-5
